Stat,Source,Source (details),Link to source,Year,Industry,Vertical,Themes,Solution,Region,Language
Each additional 10 reviews impacts sales by 5% and each additional +0.5 star rating increases sales by 9%.,3rd party,"Ascential: Optimising the digital shelf, 2019.",https://www.ascential.com/~/media/Files/A/Ascential/documents/cl-dd-presentation-v1.pdf,2019,Not specific,Not specific,"Conversion,Rating,Volume",,Global,EN
53% of users actively seek out the negative reviews of a product.,3rd party,"Baymard Institute: Product page usability testing, 2019.",https://baymard.com/blog/respond-to-negative-user-reviews,2019,Not specific,Not specific,"Usability,Consumer research/behavior,R&R",,Not specific,EN
95% of users rely on reviews to learn more about products.,3rd party,"Baymard Institute: Product page usability testing, 2019.",https://baymard.com/blog/respond-to-negative-user-reviews,2019,Not specific,Not specific,"Usability,Consumer research/behavior,R&R",,Not specific,EN
"37% of users positively factor in any site responses to negative reviews into both their evaluation of the negative review, their overall evaluation of the product, and their overall perception of the site.",3rd party,"Baymard Institute: Product page usability testing, 2019.",https://baymard.com/blog/respond-to-negative-user-reviews,2019,Not specific,Not specific,Review Response,,Not specific,EN
"35% of consumers dismiss products as inferior, or even judged reviews as untrustworthy if there were too few of them.",3rd party,"Baymard Institute: Product page usability testing, 2019.",https://baymard.com/blog/respond-to-negative-user-reviews,2019,Not specific,Not specific,Volume,,Not specific,EN
"90% of users leverage the rating distribution summary to analyze the suitability of products to their needs, making it the most utilized feature of the “Reviews” section — as in, more utilized than the reviews themselves.",3rd party,"Baymard Institute: Product page UX performance, 2018.",https://baymard.com/blog/current-state-ecommerce-product-page-ux,2018,Not specific,Not specific,"Usability,Display",,Not specific,EN
"For two otherwise identical products, where one product has a 5-star average based on 2 ratings, and the other has a 4.5-star average based on 12 ratings, 70% would pick the one with the higher number of ratings despite its lower average.",3rd party,"Baymard Institute: Users’ Perception of Product Ratings, 2016.",https://baymard.com/blog/user-perception-of-product-ratings,2016,Not specific,Not specific,"Volume,Rating",,Global,EN
82% of shoppers research products online before going in-store.,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2019.",,2019,Not specific,Not specific,"ROBO,Consumer research/behavior",,Global,EN
50% of shoppers look online while shopping in-store.,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2019.",,2019,Not specific,Not specific,"ROBO,Consumer research/behavior",,Global,EN
U.S. consumers are more likely to use a digital device during their in-store trip (36%) than those in other countries.,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2019.",,2019,Not specific,Not specific,ROBO,,NA,EN
Younger generations (Gen. Z and Millennials) are significantly more likely to look at customer reviews and photos “always” compared to older respondents (Gen. X and Baby Boomers).  ,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2019.",,2019,Not specific,Not specific,"R&R,Visual content,Consumer research/behavior",,Global,EN
More than 70% of shoppers use reviews to evaluate similar products to make a purchase decision.,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2019.",,2019,Not specific,Not specific,"R&R,Consumer research/behavior",,Global,EN
33% of shoppers said that customer reviews play a critical role in their purchase decision.,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2019.",,2019,Not specific,Not specific,"R&R,Consumer research/behavior",,Global,EN
"Among those who don't look at reviews, 32% said they wanted the ability to sort review content from people who are similar to them.",Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2019.",,2019,Not specific,Not specific,"Usability,Display",,Global,EN
"Among those who don't look at reviews, 28% said they wanted a better summary of the main themes in review content.",Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2019.",,2019,Not specific,Not specific,"Usability,Display",,Global,EN
About half of shoppers (48%) say seeing a brand or retailer respond to reviews increases their likelihood to purchase.,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2019.",,2019,Not specific,Not specific,Review Response,,Global,EN
Shoppers found average ratings higher than 4.6-4.7 to be potentially fraudulent. Ratings between 2.7 and 4.7 on a 5-point scale are most likely to allay fears while also remaining believable.,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2019.",,2019,Not specific,Not specific,"R&R,Consumer research/behavior,Rating",,Global,EN
50% of shoppers were influenced to purchase something more expensive than originally planned because of reviews.,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2019.",,2019,Not specific,Not specific,"R&R,Consumer research/behavior",,Global,EN
"Shoppers are most influenced by products that have a high number of reviews (46%), followed by a high average rating (42%)",Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2019.",,2019,Not specific,Not specific,"Rating,Volume,R&R,Consumer research/behavior",,Global,EN
"To evaluate products, 75% of shoppers say reviews are what they look at first followed by ecommerce websites and search engines (tied for second at 69%)
",Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2019.",,2019,Not specific,Not specific,"R&R,Consumer research/behavior",,Global,EN
"Shoppers say reviews on a brand or retailer’s website are what they use most often to seek out advice or information in product selection (28%), followed by product photos and videos on site (26%), and discussing with family or friends who are shopping with you (24%).",Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2019.",,2019,Not specific,Not specific,"R&R,Consumer research/behavior",,Global,EN
About half of shoppers (46%) say they’re less likely to purchase from a brand/retailer if they do not have customer review content on their website,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2019.",,2019,Not specific,Not specific,"Volume,Consumer research/behavior,R&R",,Global,EN
"28% of shoppers say reviews on a retailer’s website are what they use most often to seek out advice or information in product selection, followed by product photos and videos on site (26%), and discussing with family or friends who are shopping with you (24%).",Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2020.",,2019,Not specific,Retailers,"R&R,Consumer research/behavior",,Global,EN
"Across all industry, consumer electronics shoppers are the most reliant on reviews compared to the other industries.",Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2020.",,2019,Consumer Electronics,Not specific,"R&R,Consumer research/behavior",,Global,EN
50% of consumer electronics shoppers said that reviews influenced them to purchase something more expensive than originally planned (driven primarily by review volume).,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2020.",,2019,Consumer Electronics,Not specific,"R&R,Consumer research/behavior",,Global,EN
40% of apparel shoppers said that reviews influenced them to purchase something more expensive than originally planned (driven primarily by review volume).,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2020.",,2019,Apparel & Accessories,Not specific,"R&R,Consumer research/behavior",,Global,EN
42% of home goods shoppers said that reviews influenced them to purchase something more expensive than originally planned (driven primarily by review volume).,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2020.",,2019,Home Improvement,Not specific,"R&R,Consumer research/behavior",,Global,EN
35% of health and beauty shoppers said that reviews influenced them to purchase something more expensive than originally planned (driven primarily by review volume).,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2020.",,2019,Health & Beauty,Not specific,"R&R,Consumer research/behavior",,Global,EN
41% of consumer electronics shoppers said that customer reviews play a critical role in their purchase decision.,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2020.",,2019,Consumer Electronics,Not specific,"R&R,Consumer research/behavior",,Global,EN
32% of apparel shoppers said that customer reviews play a critical role in their purchase decision.,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2020.",,2019,Apparel & Accessories,Not specific,"R&R,Consumer research/behavior",,Global,EN
38% of home goods shoppers said that customer reviews play a critical role in their purchase decision.,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2020.",,2019,Home Improvement,Not specific,"R&R,Consumer research/behavior",,Global,EN
27% of health and beauty shoppers said that customer reviews play a critical role in their purchase decision.,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2020.",,2019,Health & Beauty,Not specific,"R&R,Consumer research/behavior",,Global,EN
"43% of apparel shoppers say they are less likely to make a purchase if there is no customer review content on the site they’re buying from.
",Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2020.",,2019,Apparel & Accessories,Not specific,"Usage,R&R",,,
70% of apparel shoppers often or always look at reviews.,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2020.",,2020,Apparel & Accessories,,"Usage,R&R",,,
58% of apparel shoppers often or always look at customer photos.,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2020.",,2020,Apparel & Accessories,,Visual content,,,
76% of apparel shoppers use customer reviews to compare products to purchase.,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2020.",,2020,Apparel & Accessories,,"Usage,R&R",,,
64% of apparel shoppers use customer photos to discover new products.,Bazaarvoice,"Bazaarvoice and Deloitte consumer buying preferences survey of 3,700 consumers in the U.S., Canada, France, Germany, and the UK, 2020.",,2019,Apparel & Accessories,Not specific,"R&R,Consumer research/behavior",,Global,EN
